Provinsi,Kabupaten/Kota,Tingkat Pengangguran Terbuka,Tingkat Partisipasi Angkatan Kerja
Aceh,Simeulue,5.85,70.57
Aceh,Aceh,6.03,64.77
Aceh,Kota Subulussalam,5.69,67.75
Aceh,Kota Lhokseumawe,8.78,64.36
Aceh,Kota Langsa,7.73,59.98
Aceh,Kota Banda Aceh,8.03,65.02
Aceh,Pidie Jaya,4.34,59.79
Aceh,Bener Meriah,2.45,83.25
Aceh,Aceh Jaya,2.88,70.46
Aceh,Nagan Raya,5.74,63.65
Aceh,Aceh Tamiang,7.21,69.3
Aceh,Gayo Lues,2.65,78.48
Aceh,Kota Sabang,3.92,67.11
Aceh,Aceh Utara,7.07,58.84
Aceh,Aceh Barat Daya,4.08,60.18
Aceh,Aceh Singkil,6.84,57.81
Aceh,Aceh Selatan,4.73,58.87
Aceh,Aceh Timur,8.03,60.48
Aceh,Aceh Tenggara,5.0,70.43
Aceh,Aceh Barat,6.07,59.62
Aceh,Aceh Besar,8.17,66.86
Aceh,Pidie,5.92,61.57
Aceh,Bireuen,4.14,66.96
Aceh,Aceh Tengah,4.42,76.85
Sumatera Utara,Nias Selatan,3.48,79.29
Sumatera Utara,Dairi,1.23,84.81
Sumatera Utara,Langkat,6.33,75.87
Sumatera Utara,Deli Serdang,8.62,67.62
Sumatera Utara,Karo,2.63,83.86
Sumatera Utara,Simalungun,5.35,72.15
Sumatera Utara,Tapanuli Selatan,3.49,75.64
Sumatera Utara,Labuhan Batu,5.99,64.84
Sumatera Utara,Toba Samosir,,80.87
Sumatera Utara,Tapanuli Utara,1.03,81.2
Sumatera Utara,Tapanuli Tengah,7.81,74.52
Sumatera Utara,Mandailing Natal,7.45,63.07
Sumatera Utara,Humbang Hasundutan,,86.67
Sumatera Utara,Asahan,6.12,69.53
Sumatera Utara,Pakpak Bharat,,85.95
Sumatera Utara,Kota Pematang Siantar,8.62,70.96
Sumatera Utara,Serdang Bedagai,4.97,67.65
Sumatera Utara,Kota Padangsidimpuan,7.57,68.9
Sumatera Utara,Kota Binjai,6.1,62.79
Sumatera Utara,Kota Medan,8.67,64.67
Sumatera Utara,Kota Tebing Tinggi,6.24,65.7
Sumatera Utara,Nias,2.31,81.68
Sumatera Utara,Kota Tanjung Balai,4.47,69.79
Sumatera Utara,Samosir,,86.89
Sumatera Utara,Kota Sibolga,6.79,71.18
Sumatera Utara,Nias Utara,2.57,81.27
Sumatera Utara,Labuhan Batu Utara,4.84,64.68
Sumatera Utara,Labuhan Batu Selatan,3.43,73.2
Sumatera Utara,Padang Lawas,5.75,78.14
Sumatera Utara,Padang Lawas Utara,4.42,73.41
Sumatera Utara,Batu Bara,5.88,72.94
Sumatera Utara,Nias Barat,0.8,81.08
Sumatera Utara,Kota Gunungsitoli,3.67,67.77
Sumatera Utara,Sumatera Utara,5.89,71.06
Sumatera Barat,Sumatera Barat,5.94,69.61
Sumatera Barat,Kota Payakumbuh,4.84,71.86
Sumatera Barat,Kota Bukittinggi,4.99,70.27
Sumatera Barat,Kota Padang Panjang,5.49,66.05
Sumatera Barat,Kota Sawah Lunto,4.98,69.9
Sumatera Barat,Kota Solok,3.72,70.12
Sumatera Barat,Kota Padang,10.86,66.99
Sumatera Barat,Pasaman Barat,6.01,66.42
Sumatera Barat,Kota Pariaman,5.68,71.23
Sumatera Barat,Dharmasraya,6.22,73.93
Sumatera Barat,Pasaman,5.09,73.05
Sumatera Barat,Lima Puluh Kota,3.95,72.63
Sumatera Barat,Kepulauan Mentawai,,80.07
Sumatera Barat,Pesisir Selatan,4.75,65.0
Sumatera Barat,Solok,4.99,76.74
Sumatera Barat,Sijunjung,4.71,68.51
Sumatera Barat,Tanah Datar,5.35,69.43
Sumatera Barat,Solok Selatan,2.57,76.52
Sumatera Barat,Padang Pariaman,6.69,65.18
Sumatera Barat,Agam,4.96,69.16
Riau,Kampar,3.38,59.63
Riau,Riau,4.23,64.45
Riau,Kota Dumai,5.15,66.07
Riau,Kota Pekanbaru,6.2,66.04
Riau,Kepulauan Meranti,5.17,65.76
Riau,Rokan Hilir,4.42,65.99
Riau,Bengkalis,7.09,61.76
Riau,Rokan Hulu,3.45,66.73
Riau,Siak,5.82,65.72
Riau,Pelalawan,2.26,68.83
Riau,Indragiri Hilir,1.71,60.72
Riau,Indragiri Hulu,2.47,67.56
Riau,Kuantan Singingi,2.49,63.95
Jambi,Batang Hari,3.85,62.01
Jambi,Muaro Jambi,5.4,74.38
Jambi,Jambi,4.53,68.75
Jambi,Tanjung Jabung Timur,1.67,67.56
Jambi,Kerinci,2.48,71.89
Jambi,Merangin,4.35,71.17
Jambi,Sarolangun,5.09,66.52
Jambi,Tanjung Jabung Barat,2.95,70.17
Jambi,Tebo,1.71,70.13
Jambi,Bungo,5.23,70.3
Jambi,Kota Jambi,8.27,64.85
Jambi,Kota Sungai Penuh,3.8,68.24
Sumatera Selatan,Kota Lubuklinggau,5.64,70.88
Sumatera Selatan,Kota Pagar Alam,2.71,73.9
Sumatera Selatan,Kota Prabumulih,5.05,68.6
Sumatera Selatan,Kota Palembang,7.49,67.51
Sumatera Selatan,Musi Rawas Utara,5.11,70.12
Sumatera Selatan,Musi Rawas,1.95,68.36
Sumatera Selatan,Penukal Abab Lematang Ilir,3.99,79.39
Sumatera Selatan,Ogan Komering Ilir,3.23,69.34
Sumatera Selatan,Ogan Komering Ulu,4.13,72.67
Sumatera Selatan,Empat Lawang,3.09,72.41
Sumatera Selatan,Muara Enim,3.92,72.99
