id,companyName,categoriesName
1032680084,PT Medion Farma Jaya,"Hotel/Restoran,Hotel/Pariwisata"
1032858553,PT Damai Abadi,"Akuntansi / Keuangan,Audit & Pajak"
1032856849,PT Sentral Supel Perkasa,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032857282,XTRO Media Utama,"Penjualan / Pemasaran,Penjualan Ritel"
1032856976,PT Kharisma Bali Hotel Development,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran"
1032857331,XTRO Media Utama,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan"
1032858737,PT Daya Cipta Gemilang,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran"
1032856940,PT Tesco Indomaritim,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR"
1032733950,PT Edelman Indonesia,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032858130,CV Hurairah,"Manufaktur,Pembelian/Manajemen Material"
1032859317,PT Audy Mandiri Indonesia,"Akuntansi / Keuangan,Perbankan / Jasa Finansial "
1032914793,International Humanity Foundation Bali Center ( IHF ),"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032857387,PT Grand Puri Persada,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032875127,PT Indocyber Global Teknologi,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR"
1032859165,PT Grand Puri Persada,"Sains,Pertanian"
1032859048,Chope Indonesia,"Layanan Kesehatan,Praktisi/Asisten Medis"
1032857684,PT Sinar Niaga Sejahtera (Cirebon),"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032857719,PT Duta Serpack Inti,"Penjualan / Pemasaran,Penjualan Ritel"
1032857311,PT Pancaran Darat Transport,"Akuntansi / Keuangan,Audit & Pajak"
1032856875,Yayasan Berkah Bagi Bangsa,"Pendidikan/Pelatihan,Pelatihan & Pengembangan"
1032856893,Twin Digital,"Seni/Media/Komunikasi,Seni / Desain Kreatif"
1032857057,CV Brasma Barsama,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032857327,PT Wisdra International (Grandvision Kantor Pemasaran Mandiri PT Prudential Life Assurance),"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032857551,PT 360 TEKNOLOGI INDONESIA,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan"
1032858822,PT AIA Financial,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan"
1032856946,Yayasan Berkah Bagi Bangsa,"Pendidikan/Pelatihan,Pelatihan & Pengembangan"
1032680077,Royal HaskoningDHV Indonesia,"Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan"
1032859326,PT Simenteknindo,"Penjualan / Pemasaran,Penjualan - Korporasi"
1032857754,Twin Digital,"Seni/Media/Komunikasi,Periklanan"
1032858836,MRT Eagles Favor,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032858057,PT Austindo Nusantara Jaya Healthcare(Klinik Mata Nusantara),"Pelayanan,Angkatan Bersenjata"
1032857378,PT Pancaran Darat Transport,"Akuntansi / Keuangan,Audit & Pajak"
1032857732,PT Toll Indonesia,"Manufaktur,Pembelian/Manajemen Material"
1032856945,PT Manggala Putra Mas,"Sumber Daya Manusia/Personalia,Sekretaris"
1032858717,PT Diksha Teknologi Indonesia,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database"
1032859553,PT INTI NYA TEKNOLOGI,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan"
1032857106,PT Packet Systems Indonesia,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR"
1032856996,PT Kharisma Bali Hotel Development,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran"
1032858697,PT Jelajah Handal Lintasan,"Akuntansi / Keuangan,Perbankan / Jasa Finansial "
1032891532,PT Daily Dinamika Kreasi,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032875486,PT Kreatifitas Sinergisme Teknoindo,"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032858140,PT Abadi bintang Cemerlang Mandiri,"Penjualan / Pemasaran,Penjualan Ritel"
1032857363,PT Dutaflow Hidrolik,"Penjualan / Pemasaran,Penjualan Ritel"
1032857767,CV Prima Print,"Layanan Kesehatan,Praktisi/Asisten Medis"
1032914792,International Humanity Foundation Bali Center ( IHF ),"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032891128,PT. Rukita Bhinneka Indonesia,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032875415,PT. Rukita Bhinneka Indonesia,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032857398,PT Pancaran Darat Transport,"Akuntansi / Keuangan,Audit & Pajak"
1032680008,PT Artajasa Pembayaran Elektronis,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032679925,PT Artajasa Pembayaran Elektronis,"Penjualan / Pemasaran,Penjualan - Korporasi"
1032857701,PT Duta Serpack Inti,"Penjualan / Pemasaran,Penjualan Ritel"
1032859076,PT Austindo Nusantara Jaya Healthcare(Klinik Mata Nusantara),"Akuntansi / Keuangan,Keuangan / Investasi Perusahaan "
1032858945,PT Investree Radhika Jaya,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database"
1032874920,PT Revolver Cinta Kopi,"Manufaktur,Pembelian/Manajemen Material"
1032857261,PT Kobe Nutri Farma,"Penjualan / Pemasaran,Penjualan Ritel"
1032857386,PT Manggala Putra Mas,"Penjualan / Pemasaran,Penjualan Ritel"
1032857328,"PT Kobexindo Tractors, Tbk","Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan"
1032858665,CV Prima Sarana Abadi,"Penjualan / Pemasaran,Penjualan Ritel"
1032723568,PT Cakap Upaya Sahaja Teknologi,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR"
1032856941,Yayasan Berkah Bagi Bangsa,"Layanan Kesehatan,Diagnosa/Lainnya"
1032680023,CV Mandiri Jaya Abadi (Lenny Skincare),"Sumber Daya Manusia/Personalia,Staf / Administrasi umum"
1032874955,PT New Hope Farm Indonesia,"Sains,Pertanian"
1032858129,PT 360 TEKNOLOGI INDONESIA,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan"
1032859216,PT Love Bonito Indonesia (Jakarta),"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR"
1032679934,PT Teguh Pesona,"Penjualan / Pemasaran,Penjualan Ritel"
1032857275,PT Wisdra International (Grandvision Kantor Pemasaran Mandiri PT Prudential Life Assurance),"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032857968,PT Kobe Nutri Farma,"Seni/Media/Komunikasi,Hubungan Masyarakat"
1032857263,PT Wisdra International (Grandvision Kantor Pemasaran Mandiri PT Prudential Life Assurance),"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032668662,PT Bosch Rexroth,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032730397,PT GSK Global Indonesia,"Manufaktur,Manufaktur"
1032679957,PT Permata Indo Sejahtera,"Penjualan / Pemasaran,Penjualan Ritel"
1032875774,PT Sorin Maharasa,"Teknik,Teknik Elektro"
1032858310,PT Wisdra International (Grandvision Kantor Pemasaran Mandiri PT Prudential Life Assurance),"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032875700,PT New Hope Farm Indonesia,"Pelayanan,Logistik/Rantai Pasokan"
1032859614,PT ABB Power Grids Indonesia,"Penjualan / Pemasaran,Penjualan - Teknik/Teknikal/IT"
1032874817,ITC Auto Multifinance,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032858335,pt garuda sinar perkasa grup,"Pelayanan,Logistik/Rantai Pasokan"
1032857222,PT Ingco Teknika Indonesia,"Penjualan / Pemasaran,Penjualan Ritel"
1032680062,PT Shell Indonesia,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis"
1032875540,SEMPOA SIP SIMALINGKAR,"Layanan Kesehatan,Diagnosa/Lainnya"
1032875168,PT Gajah Unggul Internasional,"Komputer/Teknologi Informasi,IT-Perangkat Lunak"
1032859816,Yayasan Berkah Bagi Bangsa,"Layanan Kesehatan,Diagnosa/Lainnya"
1032856898,PT Langgeng Kreasi Jayaprima (Diageo Indonesia),"Hotel/Restoran,Hotel/Pariwisata"
1032730305,PT Trenologi Indonesia,"Pelayanan,Pengacara / Asisten Legal"
1032668663,"PT Tower Bersama Infrastructure, Tbk","Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan"
