id,jobTitle,companyName,locations,skills
1032680084,Quality Control Staff,PT Medion Farma Jaya,Bandung,"control, quality, staff"
1032858553,Internal Audit,PT Damai Abadi,Medan,"audit, intern, internal"
1032856849,Event & Publicity Executive,PT Sentral Supel Perkasa,Surabaya,executive
1032857282,Sales Reguler Bank Permata (Kab Semarang),XTRO Media Utama,Semarang,"kab, les, sales"
1032856976,Housekeeping Trainee (HK),PT Kharisma Bali Hotel Development,Badung,
1032857331,Sales Reguler Bank Permata (Kendal),XTRO Media Utama,Jawa Tengah,"les, sales"
1032858737,CDP,PT Daya Cipta Gemilang,Badung,
1032856940,HR Generalist (Tulodong - Jakarta),PT Tesco Indomaritim,Jakarta Selatan,jakarta
1032733950,Deputy Client Manager (Corporate & Reputation),PT Edelman Indonesia,Jakarta Raya,"corporate, manager"
1032858130,ADMIN PEMBELIAN,CV Hurairah,Pekanbaru,admin
1032859317,Dental Assistant (Karawang),PT Audy Mandiri Indonesia,Karawang,assistant
1032914793,Relawan Akuntan Online,International Humanity Foundation Bali Center ( IHF ),Jakarta Timur,
1032857387,Marketing,PT Grand Puri Persada,Samarinda,marketing
1032875127,Admin Recruiter,PT Indocyber Global Teknologi,Jakarta Raya,admin
1032859165,Supir,PT Grand Puri Persada,Samarinda,
1032859048,Customer Service Executive,Chope Indonesia,Jakarta Raya,"customer, executive, service"
1032857684,Key Account Executive,PT Sinar Niaga Sejahtera (Cirebon),Jakarta Selatan,"account, executive"
1032857719,Sales Supervisor (Surabaya),PT Duta Serpack Inti,Surabaya,"les, sales, supervisor, surabaya"
1032857311,Internal Audit Team Leader Shipping (Jakarta Timur),PT Pancaran Darat Transport,Jakarta Timur,"audit, intern, internal, jakarta, lead, leader, team, timur"
1032856875,IT Staff,Yayasan Berkah Bagi Bangsa,Bandung,staff
1032856893,Graphic Design,Twin Digital,Jakarta Selatan,"design, graphic"
1032857057,GRO/ Sales Marketing,CV Brasma Barsama,"Balikpapan,Bali","les, marketing, sales"
1032857327,Sales and Marketing Manager (Jakarta Utara),PT Wisdra International (Grandvision Kantor Pemasaran Mandiri PT Prudential Life Assurance),Jakarta Utara,"and, jakarta, les, manager, marketing, sales, utara"
1032857551,"Frontend Developer (Permanen) (Middle,Senior)",PT 360 TEKNOLOGI INDONESIA,Jakarta Selatan,"developer, front, senior"
1032858822,INTERNAL CONTROL,PT AIA Financial,Jakarta Raya,"control, intern, internal"
1032856946,IT System Supervisor,Yayasan Berkah Bagi Bangsa,Bandung,"supervisor, system"
1032680077,HSE Manager,Royal HaskoningDHV Indonesia,Jakarta Raya,manager
1032859326,Sales Project EPC,PT Simenteknindo,Tangerang,"les, project, sales"
1032857754,Social Media Specialist,Twin Digital,Jakarta Selatan,"media, social, specialist"
1032858836,MRT BUSINESS PARTNER,MRT Eagles Favor,Jakarta Barat,business
1032858057,CSO Security,PT Austindo Nusantara Jaya Healthcare(Klinik Mata Nusantara),"Sorong,Papua",
1032857378,Internal Audit Team Leader Shipping (Jakarta Barat),PT Pancaran Darat Transport,Jakarta Barat,"audit, barat, intern, internal, jakarta, lead, leader, team"
1032857732,Vendor Management & Procurement Officer,PT Toll Indonesia,Jakarta Pusat,"management, office, officer"
1032856945,Personal Assistant to Finance Director,PT Manggala Putra Mas,Badung,"assistant, director, finance"
1032858717,IT Infrastructure (Jakarta Timur),PT Diksha Teknologi Indonesia,Jakarta Timur,"jakarta, timur"
1032859553,Senior Accounting & Finance,PT INTI NYA TEKNOLOGI,Jakarta Utara,"account, accounting, finance, senior"
1032857106,General Affair Staff,PT Packet Systems Indonesia,Jakarta Selatan,staff
1032856996,FB Service Trainee (FBS),PT Kharisma Bali Hotel Development,Badung,service
1032858697,Cost Control,PT Jelajah Handal Lintasan,Bogor,control
1032891532,Freelance Account Executive,PT Daily Dinamika Kreasi,Jakarta Raya,"account, executive, freelance"
1032875486,Junior Developer,PT Kreatifitas Sinergisme Teknoindo,Jakarta Selatan,"developer, junior"
1032858140,Pramuniaga,PT Abadi bintang Cemerlang Mandiri,Bandung,
1032857363,Sales Eksternal,PT Dutaflow Hidrolik,Bekasi,"les, sales"
1032857767,Staff Kalkulasi Cetak,CV Prima Print,Jawa Timur,staff
1032914792,Relawan untuk Penggalangan Dana & Penulisan Hibah,International Humanity Foundation Bali Center ( IHF ),Jakarta Timur,
1032891128,Intern Social Media,PT. Rukita Bhinneka Indonesia,Jakarta Raya,"intern, media, social"
1032875415,Content Writer,PT. Rukita Bhinneka Indonesia,Jakarta Raya,content
1032857398,Internal Audit Team Leader Shipping (Jakarta Selatan),PT Pancaran Darat Transport,Jakarta Selatan,"audit, intern, internal, jakarta, lead, leader, selatan, team"
1032680008,PRODUCT DEVELOPMENT (PDE-ISB),PT Artajasa Pembayaran Elektronis,Tangerang,"development, product"
1032679925,ACCOUNT MANAGER (AM-COB/COM),PT Artajasa Pembayaran Elektronis,Tangerang,"account, manager"
1032857701,Sales Supervisor (Kab Gianyar),PT Duta Serpack Inti,Gianyar,"kab, les, sales, supervisor"
1032859076,Business Development & Investor Relations Assistant Manager,PT Austindo Nusantara Jaya Healthcare(Klinik Mata Nusantara),Jakarta Raya,"assistant, business, development, manager"
1032858945,Tech Support Officer,PT Investree Radhika Jaya,Jakarta Raya,"office, officer, support"
1032874920,Shop Assistant,PT Revolver Cinta Kopi,Badung,assistant
1032857261,Medical Sales Manager (Jakarta Selatan),PT Kobe Nutri Farma,Jakarta Selatan,"jakarta, les, manager, sales, selatan"
1032857386,Corporate E-commerce Executive,PT Manggala Putra Mas,Badung,"corporate, executive"
1032857328,Accounting Staff (Jakarta Utara),"PT Kobexindo Tractors, Tbk",Jakarta Utara,"account, accounting, jakarta, staff, utara"
1032858665,Account Manager,CV Prima Sarana Abadi,Banten,"account, manager"
1032723568,Engagement & Culture Intern,PT Cakap Upaya Sahaja Teknologi,Jakarta Raya,intern
1032856941,Substitute Bahasa Indonesia Teacher (Grade 9-10),Yayasan Berkah Bagi Bangsa,Bandung,indonesia
1032680023,Kasir,CV Mandiri Jaya Abadi (Lenny Skincare),Tangerang,
1032874955,Petugas Penyuluh Lapangan (Kab Cirebon),PT New Hope Farm Indonesia,Cirebon,kab
1032858129,Frontend HTML5 (Junior-Middle),PT 360 TEKNOLOGI INDONESIA,Jakarta Selatan,"front, junior"
1032859216,People Assistant,PT Love Bonito Indonesia (Jakarta),Jakarta Selatan,assistant
1032679934,SPV Sales Kosmetik Surabaya,PT Teguh Pesona,Jakarta Selatan,"les, sales, spv, surabaya"
1032857275,Sales and Marketing Manager (Kab Bogor),PT Wisdra International (Grandvision Kantor Pemasaran Mandiri PT Prudential Life Assurance),Bogor,"and, kab, les, manager, marketing, sales"
1032857968,Purchasing Officer (Jakarta Timur),PT Kobe Nutri Farma,Jakarta Timur,"jakarta, office, officer, purchasing, timur"
1032857263,Sales and Marketing Manager (Bekasi),PT Wisdra International (Grandvision Kantor Pemasaran Mandiri PT Prudential Life Assurance),Bekasi,"and, bekas, les, manager, marketing, sales"
