Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Simeulue,...,5.85,...,70.57
Aceh Singkil,...,6.84,...,57.81
Aceh Selatan,...,4.73,...,58.87
Aceh Tenggara,...,5,...,70.43
Aceh Timur,...,8.03,...,60.48
Aceh Tengah,...,4.42,...,76.85
Aceh Barat,...,6.07,...,59.62
Aceh Besar,...,8.17,...,66.86
Pidie,...,5.92,...,61.57
Bireuen,...,4.14,...,66.96
Aceh Utara,...,7.07,...,58.84
Aceh Barat Daya,...,4.08,...,60.18
Gayo Lues,...,2.65,...,78.48
Aceh Tamiang,...,7.21,...,69.3
Nagan Raya,...,5.74,...,63.65
Aceh Jaya,...,2.88,...,70.46
Bener Meriah,...,2.45,...,83.25
Pidie Jaya,...,4.34,...,59.79
Kota Banda Aceh,...,8.03,...,65.02
Kota Sabang,...,3.92,...,67.11
Kota Langsa,...,7.73,...,59.98
Kota Lhokseumawe,...,8.78,...,64.36
Kota Subulussalam,...,5.69,...,67.75
Aceh,5.75,6.03,65.12,64.77
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
