Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Pandeglang,...,9.05,...,60.33
Lebak,...,7.57,...,67.9
Tangerang,...,6.94,...,66.87
Serang,...,9.94,...,63.22
Kota Tangerang,...,6.76,...,63.39
Kota Cilegon,...,7.25,...,62.7
Kota Serang,...,7.45,...,68.44
Kota Tangerang Selatan,...,5.81,...,60.5
Banten,7.97,7.52,65.94,64.44
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
