Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Bengkulu Selatan,...,3.56,...,75.95
Rejang Lebong,...,2.94,...,77.86
Bengkulu Utara,...,3.33,...,68.6
Kaur,...,3.81,...,68.44
Seluma,...,2.68,...,73.44
Mukomuko,...,3.14,...,67.16
Lebong,...,2.72,...,70.23
Kepahiang,...,2.41,...,75.73
Bengkulu Tengah,...,3.2,...,64.96
Kota Bengkulu,...,5.04,...,66.61
Bengkulu,3.21,3.42,72.72,70.91
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
