Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Kepulauan Seribu,...,8.11,...,73.7
Kota Jakarta Selatan,...,5.37,...,66.05
Kota Jakarta Timur,...,7.24,...,65.11
Kota Jakarta Pusat,...,6.42,...,63.98
Kota Jakarta Barat,...,6.39,...,64.8
Kota Jakarta Utara,...,7.05,...,65.5
DKI Jakarta,7.57,6.53,63.07,65.21
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
