Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Boalemo,...,2.86,...,72.3
Gorontalo,...,2.48,...,72.89
Pohuwato,...,3.46,...,72.96
Bone Bolango,...,3.39,...,68.39
Gorontalo Utara,...,2.77,...,71.13
Kota Gorontalo,...,4.06,...,65.68
Gorontalo,3.07,3.06,70.59,70.79
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
