Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Kerinci,...,2.48,...,71.89
Merangin,...,4.35,...,71.17
Sarolangun,...,5.09,...,66.52
Batang Hari,...,3.85,...,62.01
Muaro Jambi,...,5.4,...,74.38
Tanjung Jabung Timur,...,1.67,...,67.56
Tanjung Jabung Barat,...,2.95,...,70.17
Tebo,...,1.71,...,70.13
Bungo,...,5.23,...,70.3
Kota Jambi,...,8.27,...,64.85
Kota Sungai Penuh,...,3.8,...,68.24
Jambi,4.5,4.53,67.88,68.75
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
