Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Bogor,...,8.47,...,64.22
Sukabumi,...,7.32,...,67.75
Cianjur,...,7.71,...,72.31
Bandung,...,6.52,...,67.1
Garut,...,7.33,...,70.1
Tasikmalaya,...,3.89,...,68.37
Ciamis,...,3.52,...,66.26
Kuningan,...,9.49,...,61.95
Cirebon,...,7.65,...,66.16
Majalengka,...,4.12,...,68.5
Sumedang,...,6.94,...,67.76
Indramayu,...,6.46,...,63.88
Subang,...,7.65,...,70.03
Purwakarta,...,7.72,...,66.37
Karawang,...,8.95,...,63.4
Bekasi,...,8.87,...,65
Bandung Barat,...,8.11,...,67.01
Pangandaran,...,1.52,...,80.15
Kota Bogor,...,9.39,...,64.81
Kota Sukabumi,...,8.53,...,62.57
Kota Bandung,...,8.83,...,66.97
Kota Cirebon,...,7.66,...,68.71
Kota Bekasi,...,7.9,...,64.65
Kota Depok,...,6.97,...,62.76
Kota Cimahi,...,10.52,...,68.43
Kota Tasikmalaya,...,6.55,...,65.44
Kota Banjar,...,5.43,...,67.44
Jawa Barat,7.89,7.44,66.75,66.49
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
