Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Cilacap,...,8.74,...,66.6
Banyumas,...,6.35,...,64.6
Purbalingga,...,5.61,...,73.45
Banjarnegara,...,6.26,...,71.64
Kebumen,...,5.11,...,74.54
Purworejo,...,4.02,...,74.76
Wonosobo,...,4.95,...,73.59
Magelang,...,4.42,...,79.45
Boyolali,...,4.05,...,74.73
Klaten,...,4.2,...,66.71
Sukoharjo,...,3.4,...,67.66
Wonogiri,...,1.92,...,82.45
Karanganyar,...,4.35,...,70.69
Sragen,...,3.87,...,68.6
Grobogan,...,4.02,...,75.81
Blora,...,3.1,...,78.02
Rembang,...,2.6,...,72.75
Pati,...,4.29,...,73.1
Kudus,...,3.25,...,72.19
Jepara,...,3.35,...,71.57
Demak,...,5.38,...,70.76
Semarang,...,4.05,...,76.07
Temanggung,...,2.32,...,75.8
Kendal,...,5.76,...,76.93
Batang,...,6.06,...,76.62
Pekalongan,...,3.25,...,70.46
Pemalang,...,6.55,...,69.58
Tegal,...,8.6,...,67.61
Brebes,...,8.98,...,66.1
Kota Magelang,...,5.25,...,69.66
Kota Surakarta,...,4.58,...,69.18
Kota Salatiga,...,4.57,...,72.09
Kota Semarang,...,5.99,...,69.42
Kota Pekalongan,...,5.02,...,73.95
Kota Tegal,...,6.05,...,66.64
Jawa Tengah,5.24,5.13,72.33,71.72
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
