Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Pacitan,...,1.83,...,81.64
Ponorogo,...,4.66,...,75.88
Trenggalek,...,4.52,...,80.72
Tulungagung,...,5.65,...,74.7
Blitar,...,4.91,...,73.5
Kediri,...,5.79,...,68.74
Malang,...,5.7,...,70.66
Lumajang,...,3.67,...,68.49
Jember,...,4.01,...,72.3
Banyuwangi,...,4.75,...,79.04
Bondowoso,...,4.15,...,74.39
Situbondo,...,3.27,...,75.28
Probolinggo,...,3.24,...,69.48
Pasuruan,...,5.48,...,71.21
Sidoarjo,...,8.05,...,69.62
Mojokerto,...,4.67,...,72.51
Jombang,...,4.66,...,71.91
Nganjuk,...,4.68,...,66.89
Madiun,...,5.14,...,72.49
Magetan,...,4.16,...,78.48
Ngawi,...,2.41,...,69.43
Bojonegoro,...,4.63,...,74.29
Tuban,...,4.4,...,74.73
Lamongan,...,5.46,...,75.08
Gresik,...,6.82,...,70.12
Bangkalan,...,6.18,...,71.49
Sampang,...,2.72,...,73.54
Pamekasan,...,1.74,...,77.14
Sumenep,...,1.71,...,78.86
Kota Kediri,...,4.06,...,71.83
Kota Blitar,...,5.24,...,72.26
Kota Malang,...,6.8,...,67.58
Kota Probolinggo,...,4.53,...,70.61
Kota Pasuruan,...,5.64,...,75.65
Kota Mojokerto,...,4.73,...,72.5
Kota Madiun,...,5.85,...,69.29
Kota Surabaya,...,6.76,...,68.73
Kota Batu,...,4.52,...,78.99
Jawa Timur,4.33,4.88,71.5,72.56
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
