Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Tanah Laut,...,3.58,...,69.61
Kota Baru,...,6.08,...,64
Banjar,...,2.73,...,70.21
Barito Kuala,...,3.42,...,71.89
Tapin,...,3.93,...,70.17
Hulu Sungai Selatan,...,2.12,...,74.91
Hulu Sungai Tengah,...,3.26,...,71.97
Hulu Sungai Utara,...,3.85,...,75.34
Tabalong,...,3.6,...,72.94
Tanah Bumbu,...,6.56,...,68.57
Balangan,...,2.7,...,73.16
Kota Banjarmasin,...,6.7,...,66.16
Kota Banjar Baru,...,5.01,...,67.18
Kalimantan Selatan,3.95,4.31,69.53,69.76
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
