Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Kotawaringin Barat,...,4.45,...,67.17
Kotawaringin Timur,...,4.77,...,63.03
Kapuas,...,3.66,...,66.58
Barito Selatan,...,4.33,...,65.62
Barito Utara,...,4.85,...,70.27
Sukamara,...,5.23,...,72.39
Lamandau,...,3.32,...,69.01
Seruyan,...,3.61,...,67.66
Katingan,...,4.96,...,64.42
Pulang Pisau,...,2.07,...,74.92
Gunung Mas,...,3.24,...,71.06
Barito Timur,...,3.37,...,74.79
Murung Raya,...,2.75,...,66.78
Kota Palangka Raya,...,5.13,...,64.51
Kalimantan Tengah,3.84,4.1,68.76,67.18
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
