Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Paser,...,4.72,...,62.95
Kutai Barat,...,6.16,...,70.51
Kutai Kartanegara,...,4.05,...,65.32
Kutai Timur,...,5.93,...,66.22
Berau,...,4.95,...,66.91
Penajam Paser Utara,...,2.07,...,66.25
Mahakam Ulu,...,2.09,...,75
Kota Balikpapan,...,6.09,...,63.48
Kota Samarinda,...,5.92,...,65.49
Kota Bontang,...,7.74,...,68.35
Kalimantan Timur,6.37,5.31,65.66,65.57
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
