Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Bangka,...,5.03,...,67.46
Belitung,...,4.14,...,68.09
Bangka Barat,...,4.77,...,70.22
Bangka Tengah,...,3.88,...,70.09
Bangka Selatan,...,4.84,...,66.93
Belitung Timur,...,2.41,...,70.48
Kota Pangkal Pinang,...,5.76,...,66.55
Kepulauan Bangka Belitung,3.89,4.56,70.33,68.34
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
