Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Karimun,...,6.02,...,64.79
Bintan,...,5.43,...,67.55
Natuna,...,4.05,...,72.43
Lingga,...,3.52,...,70.11
Kepulauan Anambas,...,2.55,...,70.4
Kota Batam,...,8.14,...,69.63
Kota Tanjung Pinang,...,4.76,...,66.53
Kepulauan Riau,7.61,6.8,67.29,68.68
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
