Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Lampung Barat,...,2.25,...,82.01
Tanggamus,...,3.35,...,70.6
Lampung Selatan,...,4.95,...,66.43
Lampung Timur,...,3.09,...,68.74
Lampung Tengah,...,3.25,...,73.32
Lampung Utara,...,5.73,...,65.5
Way Kanan,...,3.07,...,73.32
Tulangbawang,...,3.46,...,71.47
Pesawaran,...,4.76,...,70.45
Pringsewu,...,4.66,...,73.29
Mesuji,...,2.46,...,70.15
Tulang Bawang Barat,...,3.89,...,70.77
Pesisir Barat,...,3.47,...,71.91
Kota Bandar Lampung,...,7.43,...,66.05
Kota Metro,...,3.6,...,68.92
Lampung,4.18,4.23,72.07,70.04
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
