Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Halmahera Barat,...,3.77,...,68.09
Halmahera Tengah,...,3.95,...,70.77
Kepulauan Sula,...,2.67,...,62.38
Halmahera Selatan,...,2.44,...,73.24
Halmahera Utara,...,6.53,...,69.86
Halmahera Timur,...,4.66,...,70.55
Pulau Morotai,...,4.56,...,64.72
Pulau Taliabu,...,3.15,...,63.11
Kota Ternate,...,6.62,...,61.2
Kota Tidore Kepulauan,...,3.52,...,68.72
Maluku Utara,4.6,4.31,66.52,67.77
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
