Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Kepulauan Tanimbar,...,4.31,...,62
Maluku Tenggara,...,5.73,...,61.37
Maluku Tengah,...,6.75,...,63.26
Buru,...,4.86,...,73.72
Kepulauan Aru,...,1.96,...,59.62
Seram Bagian Barat,...,4.74,...,62.72
Seram Bagian Timur,...,3.31,...,56.71
Maluku Barat Daya,...,2.43,...,67.99
Buru Selatan,...,0.97,...,68.72
Kota Ambon,...,11.65,...,65.8
Kota Tual,...,8.98,...,55.48
Maluku,6.08,6.31,63.82,63.6
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
