Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Lombok Barat,...,3.12,...,74
Lombok Tengah,...,2.78,...,76.87
Lombok Timur,...,2.47,...,71.07
Sumbawa,...,2.79,...,71.17
Dompu,...,2.36,...,72.48
Bima,...,2.15,...,75.31
Sumbawa Barat,...,3.54,...,70.87
Lombok Utara,...,1.4,...,76.19
Kota Mataram,...,4.78,...,68.26
Kota Bima,...,3.57,...,78.09
Nusa Tenggara Barat,3.73,2.8,71.16,73.31
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
