Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Fakfak,...,6.52,...,64.82
Kaimana,...,3.24,...,64.64
Teluk Wondama,...,2.77,...,69.13
Teluk Bintuni,...,3.52,...,69.33
Manokwari,...,5.97,...,68.19
Manokwari Selatan,...,,...,80.47
Pegunungan Arfak,...,,...,94.49
Papua Barat,5.53,5.38,69.36,67.24
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
