Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Jayapura,...,4.07,...,67.69
Kepulauan Yapen,...,4.01,...,61.05
Biak Numfor,...,5.72,...,65.97
Sarmi,...,3.09,...,65.73
Keerom,...,1.5,...,76.79
Waropen,...,4.62,...,66.53
Supiori,...,4.81,...,57.48
Mamberamo Raya,...,,...,42.81
Kota Jayapura,...,10.76,...,67.37
Papua,3.49,2.67,76.79,77.2
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
