Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Kuantan Singingi,...,2.49,...,63.95
Indragiri Hulu,...,2.47,...,67.56
Indragiri Hilir,...,1.71,...,60.72
Pelalawan,...,2.26,...,68.83
Siak,...,5.82,...,65.72
Kampar,...,3.38,...,59.63
Rokan Hulu,...,3.45,...,66.73
Bengkalis,...,7.09,...,61.76
Rokan Hilir,...,4.42,...,65.99
Kepulauan Meranti,...,5.17,...,65.76
Kota Pekanbaru,...,6.2,...,66.04
Kota Dumai,...,5.15,...,66.07
Riau,4.25,4.23,65.18,64.45
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
