Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Majene,...,2.64,...,64.03
Polewali Mandar,...,1.95,...,73.4
Mamasa,...,2.35,...,78.45
Mamuju,...,2.99,...,68.24
Pasangkayu,...,2.02,...,72.45
Mamuju Tengah,...,1.83,...,66.01
Sulawesi Barat,3.04,2.27,67.62,71.05
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
