Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Kepulauan Selayar,...,1.98,...,71.88
Bulukumba,...,1.31,...,70.78
Bantaeng,...,3.71,...,75.58
Jeneponto,...,2.13,...,66.44
Takalar,...,3.58,...,65.86
Gowa,...,3.43,...,69.63
Sinjai,...,1.69,...,67.16
Maros,...,3.64,...,61.45
Pangkajene Dan Kepulauan,...,5.05,...,69.98
Barru,...,5.89,...,62.26
Bone,...,2.88,...,62.69
Soppeng,...,4.34,...,59.44
Wajo,...,2.1,...,65.78
Sidenreng Rappang,...,3.29,...,55.49
Pinrang,...,3.64,...,60.51
Enrekang,...,1.53,...,68.09
Luwu,...,3.7,...,68.61
Tana Toraja,...,3.37,...,82.35
Luwu Utara,...,2.63,...,66.98
Luwu Timur,...,5.42,...,69.25
Toraja Utara,...,2.6,...,77.5
Kota Makassar,...,10.6,...,58.72
Kota Parepare,...,5.86,...,65.52
Kota Palopo,...,7.81,...,65.75
Sulawesi Selatan,5.26,4.33,64.37,65.66
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
