Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Banggai Kepulauan,...,1.56,...,72.76
Banggai,...,3.12,...,71.7
Morowali,...,2.84,...,58.52
Poso,...,1.67,...,71.07
Donggala,...,2.79,...,66.57
Toli-Toli,...,3.12,...,68.8
Buol,...,3.14,...,69.43
Parigi Moutong,...,2.11,...,73.3
Tojo Una-Una,...,2.83,...,75.06
Sigi,...,2.6,...,70.94
Banggai Laut,...,3.64,...,59.17
Morowali Utara,...,2.23,...,70.33
Kota Palu,...,5.65,...,69.28
Sulawesi Tengah,3.49,2.95,70.19,69.85
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
