Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Buton,...,2.48,...,68.49
Muna,...,3.27,...,70.77
Konawe,...,3.09,...,67.93
Kolaka,...,3.36,...,65.22
Konawe Selatan,...,3.12,...,69.93
Bombana,...,1.16,...,67.75
Wakatobi,...,2.73,...,73.08
Kolaka Utara,...,2.24,...,73.93
Buton Utara,...,1.93,...,80.95
Konawe Utara,...,2.76,...,70.75
Kolaka Timur,...,2.18,...,77.08
Konawe Kepulauan,...,1.59,...,74.93
Muna Barat,...,2.22,...,76.38
Buton Tengah,...,2.5,...,67.65
Buton Selatan,...,4.33,...,72.56
Kota Kendari,...,5.18,...,66.87
Kota Baubau,...,4.17,...,70.52
Sulawesi Tenggara,3.66,3.15,67.55,70.07
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
