Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Bolaang Mongondow,...,4.61,...,65.5
Minahasa,...,7.65,...,61.11
Kepulauan Sangihe,...,2.56,...,65.19
Kepulauan Talaud,...,3.1,...,73.88
Minahasa Selatan,...,4.98,...,63.62
Minahasa Utara,...,7.17,...,61.59
Bolaang Mongondow Utara,...,4.48,...,64.45
Siau Tagulandang Biaro,...,2.09,...,62.76
Minahasa Tenggara,...,2.84,...,67.97
Bolaang Mongondow Selatan,...,2.55,...,64.46
Bolaang Mongondow Timur,...,5.35,...,69.23
Kota Manado,...,8.85,...,61.27
Kota Bitung,...,7.82,...,64.54
Kota Tomohon,...,8.52,...,63.64
Kota Kotamobagu,...,6.34,...,69.41
Sulawesi Utara,6.19,6.1,63.31,64.09
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
