Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Kepulauan Mentawai,...,,...,80.07
Pesisir Selatan,...,4.75,...,65
Solok,...,4.99,...,76.74
Sijunjung,...,4.71,...,68.51
Tanah Datar,...,5.35,...,69.43
Padang Pariaman,...,6.69,...,65.18
Agam,...,4.96,...,69.16
Lima Puluh Kota,...,3.95,...,72.63
Pasaman,...,5.09,...,73.05
Solok Selatan,...,2.57,...,76.52
Dharmasraya,...,6.22,...,73.93
Pasaman Barat,...,6.01,...,66.42
Kota Padang,...,10.86,...,66.99
Kota Solok,...,3.72,...,70.12
Kota Sawah Lunto,...,4.98,...,69.9
Kota Padang Panjang,...,5.49,...,66.05
Kota Bukittinggi,...,4.99,...,70.27
Kota Payakumbuh,...,4.84,...,71.86
Kota Pariaman,...,5.68,...,71.23
Sumatera Barat,5.9,5.94,69.96,69.61
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
