Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Ogan Komering Ulu,...,4.13,...,72.67
Ogan Komering Ilir,...,3.23,...,69.34
Muara Enim,...,3.92,...,72.99
Lahat,...,3.41,...,74.79
Musi Rawas,...,1.95,...,68.36
Musi Banyuasin,...,2.58,...,72.63
Banyu Asin,...,3.35,...,62.68
Ogan Komering Ulu Selatan,...,1.81,...,75.56
Ogan Komering Ulu Timur,...,3.96,...,76.53
Ogan Ilir,...,2.1,...,73.38
Empat Lawang,...,3.09,...,72.41
Penukal Abab Lematang Ilir,...,3.99,...,79.39
Musi Rawas Utara,...,5.11,...,70.12
Kota Palembang,...,7.49,...,67.51
Kota Prabumulih,...,5.05,...,68.6
Kota Pagar Alam,...,2.71,...,73.9
Kota Lubuklinggau,...,5.64,...,70.88
Sumatera Selatan,4.53,4.11,69.73,70.72
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
