Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Nias,...,2.31,...,81.68
Mandailing Natal,...,7.45,...,63.07
Tapanuli Selatan,...,3.49,...,75.64
Tapanuli Tengah,...,7.81,...,74.52
Tapanuli Utara,...,1.03,...,81.2
Toba Samosir,...,,...,80.87
Labuhan Batu,...,5.99,...,64.84
Asahan,...,6.12,...,69.53
Simalungun,...,5.35,...,72.15
Dairi,...,1.23,...,84.81
Karo,...,2.63,...,83.86
Deli Serdang,...,8.62,...,67.62
Langkat,...,6.33,...,75.87
Nias Selatan,...,3.48,...,79.29
Humbang Hasundutan,...,,...,86.67
Pakpak Bharat,...,,...,85.95
Samosir,...,,...,86.89
Serdang Bedagai,...,4.97,...,67.65
Batu Bara,...,5.88,...,72.94
Padang Lawas Utara,...,4.42,...,73.41
Padang Lawas,...,5.75,...,78.14
Labuhan Batu Selatan,...,3.43,...,73.2
Labuhan Batu Utara,...,4.84,...,64.68
Nias Utara,...,2.57,...,81.27
Nias Barat,...,0.8,...,81.08
Kota Sibolga,...,6.79,...,71.18
Kota Tanjung Balai,...,4.47,...,69.79
Kota Pematang Siantar,...,8.62,...,70.96
Kota Tebing Tinggi,...,6.24,...,65.7
Kota Medan,...,8.67,...,64.67
Kota Binjai,...,6.1,...,62.79
Kota Padangsidimpuan,...,7.57,...,68.9
Kota Gunungsitoli,...,3.67,...,67.77
Sumatera Utara,5.24,5.89,70.6,71.06
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
