Provinsi,Kabupaten/Kota,Tingkat Pengangguran Terbuka,Tingkat Partisipasi Angkatan Kerja,TPT Provinsi,TPAK Provinsi
Aceh,Simeulue,5.85,70.57,5.5,65.63
Aceh,Aceh,6.03,64.77,5.5,65.63
Aceh,Kota Subulussalam,5.69,67.75,5.5,65.63
Aceh,Kota Lhokseumawe,8.78,64.36,5.5,65.63
Aceh,Kota Langsa,7.73,59.98,5.5,65.63
Aceh,Kota Banda Aceh,8.03,65.02,5.5,65.63
Aceh,Pidie Jaya,4.34,59.79,5.5,65.63
Aceh,Bener Meriah,2.45,83.25,5.5,65.63
Aceh,Aceh Jaya,2.88,70.46,5.5,65.63
Aceh,Nagan Raya,5.74,63.65,5.5,65.63
Aceh,Aceh Tamiang,7.21,69.3,5.5,65.63
Aceh,Gayo Lues,2.65,78.48,5.5,65.63
Aceh,Kota Sabang,3.92,67.11,5.5,65.63
Aceh,Aceh Utara,7.07,58.84,5.5,65.63
Aceh,Aceh Barat Daya,4.08,60.18,5.5,65.63
Aceh,Aceh Singkil,6.84,57.81,5.5,65.63
Aceh,Aceh Selatan,4.73,58.87,5.5,65.63
Aceh,Aceh Timur,8.03,60.48,5.5,65.63
Aceh,Aceh Tenggara,5.0,70.43,5.5,65.63
Aceh,Aceh Barat,6.07,59.62,5.5,65.63
Aceh,Aceh Besar,8.17,66.86,5.5,65.63
Aceh,Pidie,5.92,61.57,5.5,65.63
Aceh,Bireuen,4.14,66.96,5.5,65.63
Aceh,Aceh Tengah,4.42,76.85,5.5,65.63
Sumatera Utara,Nias Selatan,3.48,79.29,5.05,70.13
Sumatera Utara,Dairi,1.23,84.81,5.05,70.13
Sumatera Utara,Langkat,6.33,75.87,5.05,70.13
Sumatera Utara,Deli Serdang,8.62,67.62,5.05,70.13
Sumatera Utara,Karo,2.63,83.86,5.05,70.13
Sumatera Utara,Simalungun,5.35,72.15,5.05,70.13
Sumatera Utara,Tapanuli Selatan,3.49,75.64,5.05,70.13
Sumatera Utara,Labuhan Batu,5.99,64.84,5.05,70.13
Sumatera Utara,Toba Samosir,,80.87,5.05,70.13
Sumatera Utara,Tapanuli Utara,1.03,81.2,5.05,70.13
Sumatera Utara,Tapanuli Tengah,7.81,74.52,5.05,70.13
Sumatera Utara,Mandailing Natal,7.45,63.07,5.05,70.13
Sumatera Utara,Humbang Hasundutan,,86.67,5.05,70.13
Sumatera Utara,Asahan,6.12,69.53,5.05,70.13
Sumatera Utara,Pakpak Bharat,,85.95,5.05,70.13
Sumatera Utara,Kota Pematang Siantar,8.62,70.96,5.05,70.13
Sumatera Utara,Serdang Bedagai,4.97,67.65,5.05,70.13
Sumatera Utara,Kota Padangsidimpuan,7.57,68.9,5.05,70.13
Sumatera Utara,Kota Binjai,6.1,62.79,5.05,70.13
Sumatera Utara,Kota Medan,8.67,64.67,5.05,70.13
Sumatera Utara,Kota Tebing Tinggi,6.24,65.7,5.05,70.13
Sumatera Utara,Nias,2.31,81.68,5.05,70.13
Sumatera Utara,Kota Tanjung Balai,4.47,69.79,5.05,70.13
Sumatera Utara,Samosir,,86.89,5.05,70.13
Sumatera Utara,Kota Sibolga,6.79,71.18,5.05,70.13
Sumatera Utara,Nias Utara,2.57,81.27,5.05,70.13
Sumatera Utara,Labuhan Batu Utara,4.84,64.68,5.05,70.13
Sumatera Utara,Labuhan Batu Selatan,3.43,73.2,5.05,70.13
Sumatera Utara,Padang Lawas,5.75,78.14,5.05,70.13
Sumatera Utara,Padang Lawas Utara,4.42,73.41,5.05,70.13
Sumatera Utara,Batu Bara,5.88,72.94,5.05,70.13
Sumatera Utara,Nias Barat,0.8,81.08,5.05,70.13
Sumatera Utara,Kota Gunungsitoli,3.67,67.77,5.05,70.13
Sumatera Utara,Sumatera Utara,5.89,71.06,5.05,70.13
Sumatera Barat,Sumatera Barat,5.94,69.61,5.69,70.95
Sumatera Barat,Kota Payakumbuh,4.84,71.86,5.69,70.95
Sumatera Barat,Kota Bukittinggi,4.99,70.27,5.69,70.95
Sumatera Barat,Kota Padang Panjang,5.49,66.05,5.69,70.95
Sumatera Barat,Kota Sawah Lunto,4.98,69.9,5.69,70.95
Sumatera Barat,Kota Solok,3.72,70.12,5.69,70.95
Sumatera Barat,Kota Padang,10.86,66.99,5.69,70.95
Sumatera Barat,Pasaman Barat,6.01,66.42,5.69,70.95
Sumatera Barat,Kota Pariaman,5.68,71.23,5.69,70.95
Sumatera Barat,Dharmasraya,6.22,73.93,5.69,70.95
Sumatera Barat,Pasaman,5.09,73.05,5.69,70.95
Sumatera Barat,Lima Puluh Kota,3.95,72.63,5.69,70.95
Sumatera Barat,Kepulauan Mentawai,,80.07,5.69,70.95
Sumatera Barat,Pesisir Selatan,4.75,65.0,5.69,70.95
Sumatera Barat,Solok,4.99,76.74,5.69,70.95
Sumatera Barat,Sijunjung,4.71,68.51,5.69,70.95
Sumatera Barat,Tanah Datar,5.35,69.43,5.69,70.95
Sumatera Barat,Solok Selatan,2.57,76.52,5.69,70.95
Sumatera Barat,Padang Pariaman,6.69,65.18,5.69,70.95
Sumatera Barat,Agam,4.96,69.16,5.69,70.95
Riau,Kampar,3.38,59.63,4.12,64.68
Riau,Riau,4.23,64.45,4.12,64.68
Riau,Kota Dumai,5.15,66.07,4.12,64.68
Riau,Kota Pekanbaru,6.2,66.04,4.12,64.68
Riau,Kepulauan Meranti,5.17,65.76,4.12,64.68
Riau,Rokan Hilir,4.42,65.99,4.12,64.68
Riau,Bengkalis,7.09,61.76,4.12,64.68
